,0,1
453,emory,951
454,took,950
455,books,950
456,killed,947
457,east,947
458,israeli,944
459,york,944
460,screen,944
461,fine,943
462,driver,943
463,moral,942
464,theory,941
465,fast,940
466,provide,940
467,sorry,937
468,your,935
469,head,935
470,situation,935
471,monitor,935
472,level,934
473,common,933
474,business,928
475,taken,926
476,format,925
477,groups,923
478,position,923
479,test,923
480,size,920
481,statement,919
482,reading,919
483,images,917
484,with,916
485,western,913
486,answers,913
487,goes,911
488,written,910
489,early,907
490,form,906
491,motif,906
492,usually,905
493,players,904
494,discussion,902
495,mchp,902
496,application,901
497,peace,900
498,personal,898
499,experience,896
500,laws,895
501,scott,895
502,rest,894
503,elroy,893
504,bike,893
505,manager,892
506,interesting,891
507,peachnet,889
508,swrinde,887
509,here,883
510,past,881
511,hear,879
512,division,876
513,transfer,875
514,keys,872
515,disclaimer,869
516,period,868
517,particular,868
518,microsoft,866
519,corp,865
520,arizona,864
521,advance,864
522,users,864
523,first,863
524,easy,863
525,turn,863
526,account,863
527,since,862
528,according,861
529,study,861
530,needed,860
531,posted,857
532,ames,856
533,office,855
534,astro,855
535,happen,853
536,needs,852
537,short,851
538,jpeg,849
539,request,848
540,physics,847
541,special,846
542,effect,846
543,numbers,845
544,series,843
545,mouse,842
546,corporation,841
547,members,841
548,week,838
549,future,838
550,season,838
551,anti,837
552,yale,837
553,texas,837
554,uses,835
555,upenn,835
556,kill,834
557,months,834
558,lost,834
559,kent,830
560,smith,829
561,ogicse,829
562,media,828
563,exist,828
564,output,827
565,ones,826
566,points,823
567,young,822
568,mode,822
569,keith,822
570,greek,821
571,model,821
572,error,820
573,thomas,819
574,drivers,819
575,duke,818
576,medical,815
577,germany,813
578,accept,812
579,expect,811
580,longer,809
581,sell,806
582,where,805
583,eric,805
584,specific,805
585,face,804
586,plus,804
587,considered,803
588,convex,803
589,recently,802
590,wasn,801
591,gets,800
592,food,796
593,project,796
594,communications,796
595,return,793
596,united,786
597,performance,785
598,sources,785
599,runs,785
600,coming,783
601,aren,781
602,taking,780
603,insurance,780
604,land,778
605,policy,777
606,shall,775
607,king,775
608,worth,774
609,international,773
610,process,772
611,values,771
612,reference,771
613,federal,771
614,offer,770
615,outside,769
616,action,767
617,speak,766
618,thinking,765
619,army,765
620,ground,765
621,various,764
622,built,764
623,pittsburgh,764
624,drives,764
625,optilink,763
626,assume,761
627,military,760
628,pipex,759
629,result,758
630,weapons,755
631,chris,752
632,results,752
633,quality,750
634,response,750
635,cars,748
636,richard,748
637,water,746
638,friend,746
639,million,745
640,doubt,744
641,total,742
642,horus,742
643,environment,741
644,navy,741
645,involved,740
646,even,740
647,road,740
648,christianity,740
649,story,739
650,present,739
651,design,739
652,build,739
653,uchicago,738
654,close,737
655,voice,737
656,strong,737
657,higher,735
658,most,734
659,allow,734
660,includes,733
661,save,732
662,child,732
663,explain,732
664,term,731
665,computing,731
666,rate,729
667,batf,729
668,league,728
669,newsserver,726
670,field,724
671,necessary,723
672,report,723
673,cases,723
674,hold,722
675,previous,722
676,uknet,720
677,building,720
678,george,720
679,programmer,720
680,couldn,719
681,comments,718
682,asking,717
683,looks,717
684,player,716
685,west,714
686,freedom,713
687,tape,713
688,leave,713
689,knowledge,713
690,parts,712
691,related,712
692,bear,712
693,deleted,711
694,issues,709
695,wants,709
696,demon,708
697,population,707
698,soon,706
699,armenia,705
700,party,705
701,lord,705
702,athena,704
703,choice,703
704,site,702
705,univ,701
706,knows,701
707,willing,698
708,tech,698
709,boston,696
710,crime,694
711,watson,693
712,while,691
713,applications,690
714,technical,690
715,development,689
716,ideas,688
717,portal,688
718,market,687
719,muslim,686
720,appreciated,685
721,decwrl,684
722,clearly,682
723,anonymous,681
724,claims,679
725,follow,678
726,modem,678
727,section,677
728,mentioned,677
729,mcgill,674
730,half,674
731,sent,674
732,many,671
733,sounds,669
734,currently,669
735,ways,667
736,complete,667
737,basis,665
738,arms,664
739,america,663
740,henry,663
741,exists,660
742,administration,660
743,nature,660
744,arab,659
745,takes,659
746,drug,659
747,useful,659
748,defense,657
749,reasons,657
750,drugs,655
751,cover,654
752,chicago,654
753,included,654
754,main,653
755,machines,651
756,europe,650
757,completely,649
758,directory,649
759,purpose,649
760,command,648
761,apps,647
762,controller,647
763,existence,646
764,court,646
765,average,645
766,will,645
767,scientific,645
768,page,642
769,genocide,641
770,belief,641
771,living,640
772,north,637
773,poster,637
774,gives,636
775,rules,636
776,cards,634
777,green,634
778,doug,634
779,individual,631
780,waco,630
781,father,629
782,illinois,629
783,bought,629
784,family,628
785,newsgroup,628
786,engine,628
787,created,627
788,origins,626
789,conspiracy,626
790,unit,626
791,required,625
792,mantis,625
793,basic,623
794,serial,623
795,community,620
796,create,620
797,shot,620
798,weeks,620
799,meaning,619
800,digital,619
801,algorithm,619
802,language,617
803,chance,617
804,base,617
805,mass,617
806,could,616
807,inside,615
808,alaska,615
809,brown,614
810,necessarily,614
811,noise,611
812,universe,611
813,manual,611
814,normal,610
815,lead,610
816,looked,610
817,gateway,610
818,only,609
819,appears,608
820,faster,608
821,turkey,607
822,cheap,607
823,torn,606
824,supposed,606
825,interface,606
826,device,606
827,suggest,603
828,student,603
829,obviously,602
830,record,602
831,energy,602
832,views,601
833,thank,601
834,paper,599
835,details,599
836,muslims,598
837,perhaps,598
838,object,598
839,class,598
840,directly,596
841,rule,596
842,gave,596
843,finally,595
844,author,594
845,gary,594
846,atheists,594
847,mcsun,592
848,owner,592
849,shuttle,590
850,zuma,589
851,russian,589
852,reasonable,589
853,figure,588
854,commercial,588
855,port,586
856,lots,585
857,learn,585
858,library,584
859,events,584
860,final,584
861,princeton,584
862,fido,584
863,advice,583
864,civil,582
865,heart,582
866,rush,582
867,spool,581
868,happy,581
869,acsu,581
870,wait,580
871,mitre,579
872,hours,578
873,entire,578
874,event,578
875,umich,578
876,folks,577
877,andy,577
878,joseph,576
879,colostate,576
880,products,576
881,release,576
882,wish,575
883,secret,575
884,carleton,575
885,condition,575
886,murdoch,575
887,terms,574
888,received,574
889,function,574
890,goal,573
891,acns,573
892,stated,572
893,processing,571
894,oracle,571
895,attack,570
896,ncsu,569
897,room,569
898,stephen,569
899,prove,568
900,break,567
901,product,567
902,entry,567
903,clock,566
904,plan,566
905,enforcement,566
906,anyone,565
907,miles,563
908,have,562
909,matthew,562
910,turks,561
911,actions,561
912,letter,561
913,illegal,560
914,adobe,560
915,msdos,560
916,responsible,559
917,wonder,559
918,definition,558
919,extra,558
920,would,558
921,bits,558
922,cramer,556
923,easily,555
924,difficult,554
925,station,553
926,bring,553
927,reality,553
928,constitution,553
929,south,552
930,nott,552
931,lives,551
932,rose,551
933,devices,551
934,designed,550
935,door,550
936,congress,550
937,conference,550
938,printer,550
939,places,548
940,primate,548
941,tools,548
942,batcomputer,547
943,limited,547
944,happens,546
945,wondering,545
946,equipment,544
947,unfortunately,543
948,changed,543
949,context,543
950,carry,543
951,cable,543
952,jeff,542
953,reports,541
954,saimiri,540
955,allowed,539
956,citizens,539
957,americans,538
958,suppose,537
959,laboratory,536
960,imagine,536
961,more,535
962,mention,534
963,analysis,534
964,recent,533
965,central,532
966,stand,532
967,jvnc,531
968,evil,531
969,amiga,531
970,solution,530
971,engr,529
972,method,529
973,fans,529
974,originator,528
975,decided,528
976,physical,528
977,hate,527
978,launch,527
979,companies,526
980,avoid,525
981,jack,525
982,facts,524
983,wife,524
984,late,524
985,decision,524
986,trouble,524
987,generally,524
988,ucsu,524
989,studies,523
990,knew,523
991,attempt,522
992,member,522
993,street,522
994,online,522
995,mnemosyne,521
996,pick,520
997,stupid,520
998,apparently,519
999,continue,519
1000,pictures,519
1001,died,518
1002,proof,518
1003,guys,518
1004,compound,518
1005,murder,517
1006,uwaterloo,516
1007,widget,516
1008,psinntp,515
1009,regarding,515
1010,double,515
1011,watch,514
1012,ctron,514
1013,escrow,514
1014,moon,513
1015,chips,513
1016,roger,513
1017,input,512
1018,month,511
1019,define,511
1020,safety,511
1021,utnut,511
1022,volume,510
1023,archive,510
1024,reported,510
1025,held,510
1026,livesey,510
1027,brought,509
1028,forget,508
1029,bell,508
1030,coverage,508
1031,intercon,508
1032,floppy,506
1033,switch,505
1034,apollo,505
1035,psuvm,505
1036,internal,504
1037,worked,503
1038,official,503
1039,somebody,503
1040,middle,502
1041,title,502
1042,audio,502
1043,require,502
1044,installed,501
1045,keyboard,501
1046,pass,500
1047,serdar,499
1048,apply,499
1049,supply,499
1050,disease,498
1051,mother,498
1052,education,498
1053,blood,497
1054,logic,496
1055,atlanta,496
1056,midway,496
1057,fall,496
1058,charles,496
1059,homosexuality,496
1060,hands,495
1061,range,495
1062,trade,493
1063,once,493
1064,because,492
1065,lack,492
1066,argic,491
1067,obvious,491
1068,quote,490
1069,georgia,490
1070,worse,490
1071,friends,490
1072,orbit,490
1073,teams,490
1074,protect,489
1075,false,489
1076,authority,489
1077,search,489
1078,which,489
1079,suspect,488
1080,mission,486
1081,names,485
1082,killing,485
1083,gone,485
1084,giving,484
1085,excellent,484
1086,mary,484
1087,starting,483
1088,natural,482
1089,music,481
1090,larry,480
1091,amendment,480
1092,shipping,480
1093,medicine,479
1094,linac,478
1095,areas,478
1096,choose,477
1097,boulder,477
1098,contains,477
1099,effective,476
1100,appropriate,476
1101,shows,475
1102,islam,475
1103,resources,475
1104,limbaugh,475
1105,writing,474
1106,appear,474
1107,yeah,474
1108,material,473
1109,disks,473
1110,addition,472
1111,approach,472
1112,adam,471
1113,saturn,471
1114,cambridge,470
1115,driving,470
1116,lower,470
1117,requires,470
1118,respect,469
1119,rich,468
1120,fonts,468
1121,modern,467
1122,social,467
1123,destroyer,467
1124,data,467
1125,published,466
1126,ability,466
1127,homosexual,465
1128,caused,464
1129,suggestions,464
1130,very,463
1131,protection,463
1132,costs,463
1133,uoknor,463
1134,another,461
1135,picture,461
1136,intel,461
1137,mormons,461
1138,provided,460
1139,secure,460
1140,trust,460
1141,electronic,459
1142,poor,459
1143,added,459
1144,kevin,459
1145,posts,458
1146,other,458
1147,heaven,458
1148,basically,457
1149,earlier,457
1150,cray,457
1151,understanding,456
1152,calls,456
1153,phil,456
1154,treatment,455
1155,practice,455
1156,administrator,454
1157,independent,454
1158,possibly,454
1159,stephanopoulos,454
1160,prevent,453
1161,countries,453
1162,comment,453
1163,wide,452
1164,turned,452
1165,expressed,452
1166,majority,452
1167,mailing,452
1168,firearms,452
1169,british,451
1170,gordon,451
1171,dseg,451
1172,stay,450
1173,regular,450
1174,ford,450
1175,perfect,449
1176,master,449
1177,justice,449
1178,desy,449
1179,lehigh,449
1180,beliefs,448
1181,leland,448
1182,played,447
1183,print,446
1184,again,445
1185,berlin,445
1186,seriously,445
1187,programming,445
1188,ericsson,444
1189,alan,443
1190,fairly,443
1191,arguments,443
1192,articles,443
1193,appreciate,443
1194,closed,442
1195,morning,442
1196,realize,442
1197,minutes,442
1198,rice,442
1199,handle,442
1200,monash,442
1201,march,441
1202,personally,441
1203,playing,441
1204,soldiers,440
1205,spot,440
1206,nigel,440
1207,setup,440
1208,tamu,440
1209,features,439
1210,prism,439
1211,beginning,439
1212,loss,439
1213,australia,439
1214,greg,439
1215,responsibility,438
1216,block,438
1217,kept,438
1218,bruce,438
1219,sold,437
1220,particularly,437
1221,changes,437
1222,cross,436
1223,reserve,436
1224,okstate,436
1225,postscript,436
1226,csus,435
1227,supports,435
1228,spirit,434
1229,standards,433
1230,increase,433
1231,sites,433
1232,tony,433
1233,acts,432
1234,shouldn,432
1235,senator,432
1236,export,432
1237,auto,431
1238,rick,431
1239,matt,430
1240,serve,429
1241,option,429
1242,described,429
1243,both,428
1244,gsfc,428
1245,last,427
1246,types,427
1247,statements,426
1248,direct,426
1249,multiple,426
1250,mathew,426
1251,pages,425
1252,straight,425
1253,remote,425
1254,font,425
1255,committee,424
1256,recall,424
1257,absolutely,423
1258,convert,423
1259,utoronto,423
1260,sera,422
1261,admin,422
1262,rocket,421
1263,judge,421
1264,paid,421
1265,doctor,420
1266,dangerous,420
1267,step,420
1268,hole,420
1269,xterm,420
1270,agents,419
1271,vote,419
1272,hello,419
1273,william,418
1274,effort,418
1275,sgiblab,417
1276,effects,417
1277,panix,417
1278,dartmouth,417
1279,merely,416
1280,defined,416
1281,sexual,415
1282,temple,415
1283,share,414
1284,those,414
1285,operation,414
1286,risk,414
1287,draw,414
1288,considering,414
1289,behavior,414
1290,aware,414
1291,concert,414
1292,dwyer,414
1293,woman,412
1294,cancer,411
1295,assuming,411
1296,kids,411
1297,flame,410
1298,born,409
1299,percent,409
1300,pain,409
1301,activities,409
1302,greatly,409
1303,buying,409
1304,libertarian,409
1305,ride,409
1306,notice,408
1307,begin,408
1308,colors,408
1309,desire,407
1310,charge,407
1311,signal,407
1312,calling,406
1313,branch,406
1314,enterpoop,406
1315,moment,406
1316,atheist,406
1317,allows,406
1318,dealer,406
1319,urbana,405
1320,silver,405
1321,expensive,405
1322,intended,404
1323,angeles,404
1324,slow,404
1325,skeptic,404
1326,setting,403
1327,planet,402
1328,thread,402
1329,actual,402
1330,informatik,402
1331,quick,401
1332,boeing,401
1333,developed,400
1334,fair,400
1335,specifically,400
1336,safe,400
1337,supported,400
1338,latest,400
1339,holy,400
1340,random,400
1341,daniel,400
1342,jason,400
1343,myers,400
1344,mentor,399
1345,islamic,397
1346,thus,396
1347,totally,396
1348,hallam,396
1349,park,396
1350,ulowell,396
1351,solar,396
1352,meant,395
1353,seeing,395
1354,popular,395
1355,errors,395
1356,cult,395
1357,nuclear,394
1358,prices,394
1359,hall,394
1360,vice,394
1361,arabs,393
1362,proper,393
1363,shell,393
1364,concerned,393
1365,fully,392
1366,surface,392
1367,magazine,391
1368,round,390
1369,fight,389
1370,resolution,389
1371,speaking,389
1372,options,389
1373,bellcore,389
1374,wayne,389
1375,patients,389
1376,review,388
1377,bunch,388
1378,fear,388
1379,fnal,388
1380,larc,388
1381,macintosh,388
1382,aurora,388
1383,clarkson,388
1384,decide,387
1385,respond,387
1386,agency,387
1387,solntze,387
1388,claimed,386
1389,spend,386
1390,star,386
1391,european,384
1392,failed,384
1393,creation,384
1394,communication,384
1395,chem,384
1396,table,383
1397,battery,383
1398,everybody,382
1399,concept,382
1400,cobb,381
1401,impossible,380
1402,armed,380
1403,count,380
1404,frame,380
1405,yesterday,379
1406,vancouver,379
1407,entirely,379
1408,copies,379
1409,ryan,379
1410,binaries,379
1411,criminals,378
1412,selling,378
1413,putting,378
1414,nation,377
1415,german,377
1416,provides,377
1417,zeus,377
1418,objects,377
1419,banks,377
1420,ingr,377
1421,models,377
1422,arabic,376
1423,absolute,376
1424,anyway,376
1425,thousands,375
1426,jake,375
1427,dscomsa,374
1428,receive,374
1429,noticed,374
1430,warrant,374
1431,satellite,374
1432,bios,374
1433,century,373
1434,marc,373
1435,greater,373
1436,compatible,373
1437,radar,373
1438,compared,372
1439,significant,372
1440,walter,372
1441,crypto,372
1442,wright,371
1443,motherboard,371
1444,brain,370
1445,status,370
1446,wings,370
1447,disagree,369
1448,alternative,369
1449,connection,369
1450,prefer,369
1451,detroit,369
1452,stick,368
1453,scripture,368
1454,newshost,368
1455,highly,368
1456,forces,367
1457,individuals,367
1458,foreign,367
1459,traffic,366
1460,consumers,366
1461,race,365
1462,shown,365
1463,catholic,365
1464,sciences,365
1465,owners,365
1466,heat,365
1467,clutch,365
1468,drop,364
1469,parents,364
1470,moving,364
1471,accepted,364
1472,weight,364
1473,brandeis,364
1474,versions,364
1475,property,363
1476,warning,363
1477,forward,362
1478,allen,362
1479,agencies,362
1480,training,361
1481,additional,361
1482,passed,361
1483,external,361
1484,express,361
1485,brad,360
1486,daily,360
1487,english,360
1488,admit,360
1489,animation,360
1490,eyes,359
1491,although,359
1492,ball,359
1493,cold,358
1494,trial,358
1495,guest,358
1496,clone,358
1497,concordia,357
1498,nmsu,357
1499,town,356
1500,possibility,356
1501,yuma,356
1502,seattle,356
1503,install,356
1504,document,355
1505,fred,355
1506,separate,355
1507,flames,355
1508,produce,355
1509,laurentian,355
1510,knowing,354
1511,regards,354
1512,genesis,354
1513,humans,354
1514,pressure,353
1515,taxes,353
1516,halat,353
1517,steven,352
1518,messages,352
1519,expected,352
1520,call,352
1521,visual,352
1522,anatolia,351
1523,soul,351
1524,telephone,351
1525,wall,351
1526,easier,351
1527,galileo,351
1528,argue,351
1529,billion,351
1530,rusnews,351
1531,bank,350
1532,sunday,350
1533,jobs,350
1534,vehicle,350
1535,functions,350
1536,upgrade,350
1537,mountain,349
1538,msuinfo,349
1539,maine,349
1540,evolution,349
1541,therefore,348
1542,msen,348
1543,eternal,348
1544,nazi,347
1545,immediately,347
1546,description,347
1547,multi,347
1548,ready,347
1549,munnari,347
1550,welcome,347
1551,luck,347
1552,innocent,346
1553,historical,346
1554,flight,346
1555,alchemy,346
1556,harris,346
1557,intelligence,345
1558,craig,345
1559,motorola,345
1560,bush,344
1561,instance,344
1562,simms,344
1563,throw,343
1564,conclusion,343
1565,escape,343
1566,attacks,343
1567,rates,343
1568,potential,343
1569,espn,343
1570,iranian,342
1571,leaders,342
1572,committed,342
1573,tend,342
1574,monitors,342
1575,attention,341
1576,notes,341
1577,electrical,341
1578,larger,341
1579,existing,340
1580,role,340
1581,ucsc,340
1582,martin,339
1583,azerbaijan,339
1584,their,339
1585,properly,339
1586,oakland,339
1587,lose,338
1588,guide,338
1589,valid,338
1590,olivea,338
1591,aids,338
1592,morris,338
1593,umass,337
1594,beat,337
1595,applied,337
1596,degree,337
1597,sample,337
1598,equal,337
1599,miller,337
1600,meet,336
1601,domain,336
1602,activity,336
1603,resource,336
1604,holocaust,335
1605,piece,335
1606,typical,334
1607,criminal,334
1608,grant,334
1609,management,334
1610,purchase,333
1611,despite,333
1612,fidonet,333
1613,ahead,332
1614,next,332
1615,keeping,332
1616,oulu,332
1617,rider,332
1618,male,331
1619,advantage,331
1620,semi,331
1621,davis,330
1622,ncar,330
1623,formats,330
1624,dale,330
1625,michigan,329
1626,shots,329
1627,waiting,329
1628,louis,329
1629,linus,329
1630,stats,329
1631,sign,328
1632,sdpa,328
1633,missing,328
1634,style,328
1635,released,328
1636,tool,328
1637,discuss,328
1638,ieee,328
1639,pixel,328
1640,cunixb,327
1641,showed,327
1642,montreal,327
1643,circuit,327
1644,positive,325
1645,wire,325
1646,causes,325
1647,background,324
1648,character,324
1649,nearly,324
1650,johnson,324
1651,planetary,324
1652,automatic,323
1653,okay,323
1654,umanitoba,323
1655,brother,322
1656,believed,322
1657,weapon,322
1658,claremont,322
1659,rock,322
1660,boards,322
1661,heavy,321
1662,should,321
1663,levels,321
1664,papers,321
1665,proposed,321
1666,davidians,321
1667,clayton,321
1668,alive,320
1669,russia,320
1670,francisco,320
1671,accurate,320
1672,industry,320
1673,changing,320
1674,utah,320
1675,follows,319
1676,eventually,319
1677,recognize,319
1678,determine,318
1679,venus,318
1680,remove,318
1681,bedfellow,318
1682,summer,317
1683,editor,317
1684,examples,317
1685,listen,317
1686,connected,316
1687,debate,316
1688,june,316
1689,watching,316
1690,spacecraft,316
1691,lived,315
1692,root,315
1693,goals,315
1694,offers,315
1695,license,315
1696,biblical,315
1697,postings,314
1698,seas,314
1699,quickly,314
1700,minor,314
1701,convention,314
1702,cryptography,314
1703,telling,313
1704,compare,313
1705,theories,313
1706,purposes,313
1707,load,313
1708,tank,313
1709,bradley,313
1710,client,313
1711,spent,312
1712,speech,312
1713,obtain,312
1714,ursa,312
1715,nist,312
1716,laser,312
1717,employer,311
1718,economic,311
1719,attitude,311
1720,thoughts,311
1721,clean,311
1722,proposal,310
1723,jose,310
1724,generation,310
1725,island,310
1726,documentation,310
1727,lynx,310
1728,older,309
1729,methods,309
1730,mellon,309
1731,operations,309
1732,grace,309
1733,compression,309
1734,bony,308
1735,afraid,308
1736,solid,308
1737,limit,308
1738,troops,307
1739,reach,307
1740,worst,307
1741,ontario,307
1742,topic,307
1743,rangers,307
1744,minority,306
1745,definitely,306
1746,militia,305
1747,fighting,305
1748,active,305
1749,sick,305
1750,update,304
1751,diego,304
1752,feet,304
1753,llnl,304
1754,denver,304
1755,newton,304
1756,damage,303
1757,spencer,303
1758,handheld,303
1759,parties,302
1760,roads,302
1761,seven,302
1762,advanced,302
1763,riding,302
1764,waste,302
1765,complex,302
1766,length,302
1767,comm,302
1768,linux,302
1769,braves,302
1770,default,302
1771,florida,301
1772,leads,301
1773,store,300
1774,perry,300
1775,null,300
1776,ramsey,300
1777,bodies,299
1778,activism,299
1779,professor,298
1780,astronomy,298
1781,operating,298
1782,began,297
1783,hospital,297
1784,helps,297
1785,officers,297
1786,somewhat,297
1787,randy,297
1788,exact,296
1789,bosnia,296
1790,gotten,296
1791,depends,296
1792,worry,296
1793,truly,296
1794,douglas,296
1795,defend,295
1796,followed,295
1797,blame,295
1798,carnegie,295
